id,date,hour,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
b9d58,2019-04-19,12,0.0,0.0,0.0,13.0,2.0,4.0,7.0,4.0
b9d58,2019-04-19,13,12.0,0.0,1.0,0.0,2.0,4.0,2.0,9.0
b9d58,2019-04-19,14,8.0,0.0,0.0,4.0,0.0,7.0,5.0,12.0
b9d58,2019-04-19,15,1.0,0.0,0.0,0.0,2.0,5.0,4.0,11.0
b9d58,2019-04-19,16,0.0,4.0,7.0,4.0,0.0,5.0,2.0,7.0
b9d58,2019-04-19,17,3.0,0.0,0.0,24.0,0.0,13.0,12.0,10.0
b9d58,2019-04-19,18,0.0,0.0,0.0,8.0,0.0,5.0,3.0,6.0
b9d58,2019-04-19,19,0.0,0.0,0.0,2.0,0.0,3.0,3.0,5.0
b9d58,2019-04-19,20,4.0,1.0,4.0,8.0,0.0,14.0,7.0,11.0
b9d58,2019-04-19,21,0.0,15.0,12.0,0.0,0.0,1.0,0.0,0.0
b9d58,2019-04-19,22,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
b9d58,2019-04-19,23,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-20,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-20,2,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-20,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-20,5,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-20,6,0.0,9.0,12.0,6.0,0.0,2.0,3.0,1.0
b9d58,2019-04-20,7,8.0,4.0,8.0,16.0,6.0,10.0,15.0,5.0
b9d58,2019-04-20,8,4.0,0.0,0.0,16.0,0.0,5.0,8.0,5.0
b9d58,2019-04-20,9,1.0,4.0,5.0,6.0,6.0,7.0,4.0,14.0
b9d58,2019-04-20,10,14.0,1.0,1.0,4.0,2.0,11.0,12.0,13.0
b9d58,2019-04-20,11,24.0,0.0,1.0,1.0,4.0,8.0,14.0,8.0
b9d58,2019-04-20,12,4.0,0.0,0.0,9.0,2.0,3.0,9.0,7.0
b9d58,2019-04-20,13,1.0,0.0,7.0,0.0,6.0,6.0,3.0,6.0
b9d58,2019-04-20,14,1.0,0.0,3.0,0.0,0.0,4.0,4.0,12.0
b9d58,2019-04-20,15,6.0,0.0,0.0,12.0,2.0,8.0,4.0,12.0
b9d58,2019-04-20,16,2.0,2.0,3.0,4.0,0.0,16.0,13.0,11.0
b9d58,2019-04-20,17,3.0,0.0,0.0,16.0,2.0,17.0,11.0,9.0
b9d58,2019-04-20,18,0.0,1.0,1.0,6.0,8.0,13.0,8.0,8.0
b9d58,2019-04-20,19,3.0,0.0,0.0,2.0,2.0,4.0,4.0,7.0
b9d58,2019-04-20,20,5.0,2.0,2.0,2.0,2.0,12.0,8.0,8.0
b9d58,2019-04-20,21,0.0,12.0,14.0,8.0,0.0,11.0,4.0,2.0
b9d58,2019-04-20,22,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0
b9d58,2019-04-21,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-21,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-21,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-21,3,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-21,4,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-21,5,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-21,6,0.0,8.0,11.0,6.0,0.0,10.0,5.0,2.0
